name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal
Michael Phelps,23.0,United States,2008,8/24/2008,Swimming,8,0,0,8
Michael Phelps,19.0,United States,2004,8/29/2004,Swimming,6,0,2,8
Michael Phelps,27.0,United States,2012,08-12-2012,Swimming,4,2,0,6
Natalie Coughlin,25.0,United States,2008,8/24/2008,Swimming,1,2,3,6
Aleksey Nemov,24.0,Russia,2000,10-01-2000,Gymnastics,2,1,3,6
Alicia Coutts,24.0,Australia,2012,08-12-2012,Swimming,1,3,1,5
Missy Franklin,17.0,United States,2012,08-12-2012,Swimming,4,0,1,5
Ryan Lochte,27.0,United States,2012,08-12-2012,Swimming,2,2,1,5
Allison Schmitt,22.0,United States,2012,08-12-2012,Swimming,3,1,1,5
Natalie Coughlin,21.0,United States,2004,8/29/2004,Swimming,2,2,1,5
Ian Thorpe,17.0,Australia,2000,10-01-2000,Swimming,3,2,0,5
Dara Torres,33.0,United States,2000,10-01-2000,Swimming,2,0,3,5
Cindy Klassen,26.0,Canada,2006,2/26/2006,Speed Skating,1,2,2,5
Nastia Liukin,18.0,United States,2008,8/24/2008,Gymnastics,1,3,1,5
Marit Bjrgen,29.0,Norway,2010,2/28/2010,Cross Country Skiing,3,1,1,5
Sun Yang,20.0,China,2012,08-12-2012,Swimming,2,1,1,4
Kirsty Coventry,24.0,Zimbabwe,2008,8/24/2008,Swimming,1,3,0,4
Libby LentonTrickett,23.0,Australia,2008,8/24/2008,Swimming,2,1,1,4
Ryan Lochte,24.0,United States,2008,8/24/2008,Swimming,2,0,2,4
Inge de Bruijn,30.0,Netherlands,2004,8/29/2004,Swimming,1,1,2,4
Petria Thomas,28.0,Australia,2004,8/29/2004,Swimming,3,1,0,4
Ian Thorpe,21.0,Australia,2004,8/29/2004,Swimming,2,1,1,4
Inge de Bruijn,27.0,Netherlands,2000,10-01-2000,Swimming,3,1,0,4
Gary Hall Jr,25.0,United States,2000,10-01-2000,Swimming,2,1,1,4
Michael Klim,23.0,Australia,2000,10-01-2000,Swimming,2,2,0,4
Susie ONeill,27.0,Australia,2000,10-01-2000,Swimming,1,3,0,4
Jenny Thompson,27.0,United States,2000,10-01-2000,Swimming,3,0,1,4
Pieter van den Hoogenband,22.0,Netherlands,2000,10-01-2000,Swimming,2,0,2,4
An HyeonSu,20.0,South Korea,2006,2/26/2006,Short-Track Speed Skating,3,0,1,4
Aliya Mustafina,17.0,Russia,2012,08-12-2012,Gymnastics,1,1,2,4
Shawn Johnson,16.0,United States,2008,8/24/2008,Gymnastics,1,3,0,4
Dmitry Sautin,26.0,Russia,2000,10-01-2000,Diving,1,1,2,4
Leontien Zijlaardvan Moorsel,30.0,Netherlands,2000,10-01-2000,Cycling,3,1,0,4
Petter Northug Jr,24.0,Norway,2010,2/28/2010,Cross Country Skiing,2,1,1,4
Ole Einar Bjrndalen,28.0,Norway,2002,2/24/2002,Biathlon,4,0,0,4
Janica Kostelic,20.0,Croatia,2002,2/24/2002,Alpine Skiing,3,1,0,4
Nathan Adrian,23.0,United States,2012,08-12-2012,Swimming,2,1,0,3
Yannick Agnel,20.0,France,2012,08-12-2012,Swimming,2,1,0,3
Brittany Elmslie,18.0,Australia,2012,08-12-2012,Swimming,1,2,0,3
Matt Grevers,27.0,United States,2012,08-12-2012,Swimming,2,1,0,3
Ryosuke Irie,22.0,Japan,2012,08-12-2012,Swimming,0,2,1,3
Cullen Jones,28.0,United States,2012,08-12-2012,Swimming,1,2,0,3
Ranomi Kromowidjojo,21.0,Netherlands,2012,08-12-2012,Swimming,2,1,0,3
Camille Muffat,22.0,France,2012,08-12-2012,Swimming,1,1,1,3
Mel Schlanger,25.0,Australia,2012,08-12-2012,Swimming,1,2,0,3
Emily Seebohm,20.0,Australia,2012,08-12-2012,Swimming,1,2,0,3
Rebecca Soni,25.0,United States,2012,08-12-2012,Swimming,2,1,0,3
Satomi Suzuki,21.0,Japan,2012,08-12-2012,Swimming,0,1,2,3
Dana Vollmer,24.0,United States,2012,08-12-2012,Swimming,3,0,0,3
Alain Bernard,25.0,France,2008,8/24/2008,Swimming,1,1,1,3
Lszl Cseh Jr,22.0,Hungary,2008,8/24/2008,Swimming,0,3,0,3
Matt Grevers,23.0,United States,2008,8/24/2008,Swimming,2,1,0,3
Margaret Hoelzer,25.0,United States,2008,8/24/2008,Swimming,0,2,1,3
Katie Hoff,19.0,United States,2008,8/24/2008,Swimming,0,1,2,3
Leisel Jones,22.0,Australia,2008,8/24/2008,Swimming,2,1,0,3
Kosuke Kitajima,25.0,Japan,2008,8/24/2008,Swimming,2,0,1,3
Andrew Lauterstein,21.0,Australia,2008,8/24/2008,Swimming,0,1,2,3
Jason Lezak,32.0,United States,2008,8/24/2008,Swimming,2,0,1,3
Pang Jiaying,23.0,China,2008,8/24/2008,Swimming,0,1,2,3
Aaron Peirsol,25.0,United States,2008,8/24/2008,Swimming,2,1,0,3
Steph Rice,20.0,Australia,2008,8/24/2008,Swimming,3,0,0,3
Jess Schipper,21.0,Australia,2008,8/24/2008,Swimming,1,0,2,3
Rebecca Soni,21.0,United States,2008,8/24/2008,Swimming,1,2,0,3
Eamon Sullivan,22.0,Australia,2008,8/24/2008,Swimming,0,2,1,3
Dara Torres,41.0,United States,2008,8/24/2008,Swimming,0,3,0,3
Amanda Beard,22.0,United States,2004,8/29/2004,Swimming,1,2,0,3
Antje Buschschulte,25.0,Germany,2004,8/29/2004,Swimming,0,0,3,3
Kirsty Coventry,20.0,Zimbabwe,2004,8/29/2004,Swimming,1,1,1,3
Ian Crocker,21.0,United States,2004,8/29/2004,Swimming,1,1,1,3
Grant Hackett,24.0,Australia,2004,8/29/2004,Swimming,1,2,0,3
Brendan Hansen,22.0,United States,2004,8/29/2004,Swimming,1,1,1,3
Jodie Henry,20.0,Australia,2004,8/29/2004,Swimming,3,0,0,3
Otylia Jedrzejczak,20.0,Poland,2004,8/29/2004,Swimming,1,2,0,3
Leisel Jones,18.0,Australia,2004,8/29/2004,Swimming,1,1,1,3
Kosuke Kitajima,21.0,Japan,2004,8/29/2004,Swimming,2,0,1,3
Laure Manaudou,17.0,France,2004,8/29/2004,Swimming,1,1,1,3
Aaron Peirsol,21.0,United States,2004,8/29/2004,Swimming,3,0,0,3
Kaitlin Sandeno,21.0,United States,2004,8/29/2004,Swimming,1,1,1,3
Roland Schoeman,24.0,South Africa,2004,8/29/2004,Swimming,1,1,1,3
Pieter van den Hoogenband,26.0,Netherlands,2004,8/29/2004,Swimming,1,2,0,3
Therese Alshammar,23.0,Sweden,2000,10-01-2000,Swimming,0,2,1,3
Yana Klochkova,18.0,Ukraine,2000,10-01-2000,Swimming,2,1,0,3
Lenny Krayzelburg,24.0,United States,2000,10-01-2000,Swimming,3,0,0,3
